region,category,parameter,mode,powertrain,year,unit,value,percentage
Norway,Historical,EV sales share,Vans,EV,2015,percent,229.999.995.231.628,"22999999523162800,00%"
Norway,Historical,EV stock share,Vans,EV,2015,percent,259.999.990.463.257,"25999999046325700,00%"
Norway,Historical,EV charging points,EV,Publicly available fast,2015,charging points,330,"33000,00%"
Norway,Historical,EV charging points,EV,Publicly available slow,2015,charging points,5200,"520000,00%"
Norway,Historical,EV sales,Vans,BEV,2015,Vehicles,710,"71000,00%"
Norway,Historical,EV stock,Vans,BEV,2015,Vehicles,1300,"130000,00%"
Norway,Historical,EV sales,Cars,FCEV,2015,Vehicles,9,"900,00%"
Norway,Historical,EV stock,Cars,BEV,2015,Vehicles,59000,"5900000,00%"
Norway,Historical,EV sales,Cars,BEV,2015,Vehicles,26000,"2600000,00%"
Norway,Historical,EV stock,Cars,FCEV,2015,Vehicles,13,"1300,00%"
Norway,Historical,EV sales,Cars,PHEV,2015,Vehicles,7900,"790000,00%"
Poland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,8,"800,00%"
Poland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,290,"29000,00%"
Poland,Historical,EV sales share,Cars,EV,2015,percent,61.000.000.685.454,"6100000068545400,00%"
Poland,Historical,EV stock share,Vans,EV,2015,percent,739.999.988.582,"73999998858200,00%"
Poland,Historical,EV sales share,Vans,EV,2015,percent,28.000.000.864.267,"2800000086426700,00%"
Poland,Historical,EV stock share,Buses,EV,2015,percent,23.000.000.044.704,"2300000004470400,00%"
Poland,Historical,EV stock share,Cars,EV,2015,percent,12.000.000.104.308,"1200000010430800,00%"
Poland,Historical,EV sales,Cars,PHEV,2015,Vehicles,150,"15000,00%"
Poland,Historical,EV sales,Cars,BEV,2015,Vehicles,70,"7000,00%"
Poland,Historical,EV stock,Cars,BEV,2015,Vehicles,2500,"250000,00%"
Poland,Historical,EV sales,Vans,BEV,2015,Vehicles,13,"1300,00%"
Poland,Historical,EV stock,Buses,PHEV,2015,Vehicles,14,"1400,00%"
Poland,Historical,EV stock,Vans,BEV,2015,Vehicles,18,"1800,00%"
Poland,Historical,EV sales,Vans,PHEV,2015,Vehicles,2,"200,00%"
Portugal,Historical,EV sales share,Cars,EV,2015,percent,620.000.004.768.372,"62000000476837200,00%"
Portugal,Historical,EV stock share,Cars,EV,2015,percent,52.999.999.374.151,"5299999937415100,00%"
Portugal,Historical,EV stock,Cars,BEV,2015,Vehicles,2000,"200000,00%"
Portugal,Historical,EV sales,Cars,BEV,2015,Vehicles,670,"67000,00%"
Portugal,Historical,EV sales,Cars,PHEV,2015,Vehicles,430,"43000,00%"
Portugal,Historical,EV stock,Cars,PHEV,2015,Vehicles,530,"53000,00%"
Portugal,Historical,EV charging points,EV,Publicly available fast,2015,charging points,22,"2200,00%"
Portugal,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1200,"120000,00%"
Rest of the world,Historical,EV stock share,Cars,EV,2015,percent,400.000.018.999,"40000001899900,00%"
Rest of the world,Historical,EV sales share,Cars,EV,2015,percent,37.999.998.778.105,"3799999877810500,00%"
Rest of the world,Historical,EV stock,Cars,BEV,2015,Vehicles,4900,"490000,00%"
Rest of the world,Historical,EV stock,Cars,PHEV,2015,Vehicles,1400,"140000,00%"
Rest of the world,Historical,EV sales,Cars,PHEV,2015,Vehicles,900,"90000,00%"
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2015,Milion barrels per day,"1,30E+09","129999998534,91%"
Rest of the world,Historical,Oil displacement Mbd,Trucks,EV,2015,Milion barrels per day,"3,50E+08","35000000480,07%"
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2015,Milion barrels per day,250.000.011.874,"25000001187400,00%"
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,1.700.000.022.538,"170000002253800,00%"
Rest of the world,Historical,"Oil displacement, million lge",Buses,EV,2015,"Oil displacement, million lge",769.999.980.926.514,"76999998092651400,00%"
Rest of the world,Historical,"Oil displacement, million lge",Trucks,EV,2015,"Oil displacement, million lge",200.000.002.980.232,"20000000298023200,00%"
Rest of the world,Historical,"Oil displacement, million lge",Vans,EV,2015,"Oil displacement, million lge",15,"1500,00%"
Rest of the world,Historical,"Oil displacement, million lge",Cars,EV,2015,"Oil displacement, million lge",100,"10000,00%"
Rest of the world,Historical,Electricity demand,Buses,EV,2015,GWh,419.999.980.926.514,"41999998092651400,00%"
Rest of the world,Historical,Electricity demand,Trucks,EV,2015,GWh,20,"2000,00%"
Rest of the world,Historical,Electricity demand,Vans,EV,2015,GWh,480,"48000,00%"
Rest of the world,Historical,Electricity demand,Cars,EV,2015,GWh,1400,"140000,00%"
Rest of the world,Historical,EV sales,Cars,BEV,2015,Vehicles,3400,"340000,00%"
Rest of the world,Historical,EV sales,Vans,BEV,2015,Vehicles,21,"2100,00%"
Rest of the world,Historical,EV stock,Vans,BEV,2015,Vehicles,21,"2100,00%"
Romania,Historical,EV sales share,Cars,EV,2015,percent,29.999.999.329.448,"2999999932944800,00%"
Romania,Historical,EV sales,Cars,BEV,2015,Vehicles,24,"2400,00%"
Seychelles,Historical,EV sales share,Cars,EV,2015,percent,150.000.005.960.464,"15000000596046400,00%"
Seychelles,Historical,EV sales,Cars,BEV,2015,Vehicles,3,"300,00%"
Slovakia,Historical,EV sales share,Cars,EV,2015,percent,70.000.000.298.023,"7000000029802300,00%"
Slovakia,Historical,EV sales,Cars,BEV,2015,Vehicles,52,"5200,00%"
South Africa,Historical,EV stock share,Cars,EV,2015,percent,4.100.000.020.117,"410000002011700,00%"
South Africa,Historical,EV sales share,Cars,EV,2015,percent,5.799.999.833.107,"579999983310700,00%"
South Africa,Historical,EV sales,Cars,PHEV,2015,Vehicles,120,"12000,00%"
South Africa,Historical,EV stock,Cars,PHEV,2015,Vehicles,120,"12000,00%"
South Africa,Historical,EV sales,Cars,BEV,2015,Vehicles,120,"12000,00%"
South Africa,Historical,EV stock,Cars,BEV,2015,Vehicles,160,"16000,00%"
Spain,Historical,EV charging points,EV,Publicly available fast,2015,charging points,240,"24000,00%"
Spain,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1400,"140000,00%"
Spain,Historical,EV stock share,Cars,EV,2015,percent,26.000.000.536.442,"2600000053644200,00%"
Spain,Historical,EV sales share,Cars,EV,2015,percent,200.000.002.980.232,"20000000298023200,00%"
Spain,Historical,EV stock share,Vans,EV,2015,percent,24.000.000.208.616,"2400000020861600,00%"
Spain,Historical,EV sales share,Buses,EV,2015,percent,59.000.000.357.628,"5900000035762800,00%"
Spain,Historical,EV sales share,Vans,EV,2015,percent,370.000.004.768.372,"37000000476837200,00%"
Spain,Historical,EV sales,Buses,BEV,2015,Vehicles,2,"200,00%"
Spain,Historical,EV sales,Cars,BEV,2015,Vehicles,1300,"130000,00%"
Spain,Historical,EV sales,Vans,BEV,2015,Vehicles,540,"54000,00%"
Spain,Historical,EV stock,Vans,BEV,2015,Vehicles,1100,"110000,00%"
Spain,Historical,EV sales,Cars,PHEV,2015,Vehicles,780,"78000,00%"
Spain,Historical,EV stock,Cars,PHEV,2015,Vehicles,1300,"130000,00%"
Spain,Historical,EV stock,Cars,BEV,2015,Vehicles,4400,"440000,00%"
Sweden,Historical,EV stock share,Cars,EV,2015,percent,310.000.002.384.186,"31000000238418600,00%"
Sweden,Historical,EV sales share,Cars,EV,2015,percent,240.000.009.536.743,"24000000953674300,00%"
Sweden,Historical,EV stock share,Buses,EV,2015,percent,189.999.997.615.814,"18999999761581400,00%"
Sweden,Historical,EV sales share,Buses,EV,2015,percent,110.000.002.384.186,"11000000238418600,00%"
Sweden,Historical,EV sales share,Vans,EV,2015,percent,72.000.002.861.023,"7200000286102300,00%"
Sweden,Historical,EV stock share,Vans,EV,2015,percent,239.999.994.635.582,"23999999463558200,00%"
Sweden,Historical,EV sales,Cars,PHEV,2015,Vehicles,5700,"570000,00%"
Sweden,Historical,EV stock,Cars,FCEV,2015,Vehicles,4,"400,00%"
Sweden,Historical,EV stock,Cars,PHEV,2015,Vehicles,9800,"980000,00%"
Sweden,Historical,EV stock,Cars,BEV,2015,Vehicles,4800,"480000,00%"
Sweden,Historical,EV sales,Cars,FCEV,2015,Vehicles,1,"100,00%"
Sweden,Historical,EV stock,Buses,BEV,2015,Vehicles,20,"2000,00%"
Sweden,Historical,EV sales,Buses,BEV,2015,Vehicles,9,"900,00%"
Sweden,Historical,EV sales,Cars,BEV,2015,Vehicles,3000,"300000,00%"
Sweden,Historical,EV stock,Vans,PHEV,2015,Vehicles,7,"700,00%"
Sweden,Historical,EV sales,Vans,BEV,2015,Vehicles,320,"32000,00%"
Sweden,Historical,EV stock,Vans,BEV,2015,Vehicles,1200,"120000,00%"
Sweden,Historical,EV stock,Buses,PHEV,2015,Vehicles,5,"500,00%"
Sweden,Historical,EV sales,Buses,PHEV,2015,Vehicles,5,"500,00%"
Sweden,Historical,EV sales,Vans,PHEV,2015,Vehicles,7,"700,00%"
Sweden,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1100,"110000,00%"
Switzerland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,260,"26000,00%"
Switzerland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,3400,"340000,00%"
Switzerland,Historical,EV sales,Vans,BEV,2015,Vehicles,160,"16000,00%"
Switzerland,Historical,EV stock,Buses,PHEV,2015,Vehicles,11,"1100,00%"
Switzerland,Historical,EV stock,Vans,BEV,2015,Vehicles,440,"44000,00%"
Switzerland,Historical,EV sales,Cars,BEV,2015,Vehicles,3300,"330000,00%"
Switzerland,Historical,EV stock,Cars,BEV,2015,Vehicles,7800,"780000,00%"
Switzerland,Historical,EV sales,Cars,FCEV,2015,Vehicles,10,"1000,00%"
Switzerland,Historical,EV stock,Cars,PHEV,2015,Vehicles,3200,"320000,00%"
Switzerland,Historical,EV sales,Cars,PHEV,2015,Vehicles,2400,"240000,00%"
Switzerland,Historical,EV stock,Cars,FCEV,2015,Vehicles,10,"1000,00%"
Switzerland,Historical,EV stock share,Vans,EV,2015,percent,129.999.995.231.628,"12999999523162800,00%"
Switzerland,Historical,EV sales share,Vans,EV,2015,percent,509.999.990.463.257,"50999999046325700,00%"
Switzerland,Historical,EV sales share,Cars,EV,2015,percent,170.000.004.768.372,"17000000476837200,00%"
Switzerland,Historical,EV stock share,Cars,EV,2015,percent,0.25,0.25
Switzerland,Historical,EV stock share,Buses,EV,2015,percent,129.999.995.231.628,"12999999523162800,00%"
Turkiye,Historical,EV sales share,Cars,EV,2015,percent,30.999.999.493.361,"3099999949336100,00%"
Turkiye,Historical,EV stock share,Cars,EV,2015,percent,3.800.000.064.075,"380000006407500,00%"
Turkiye,Historical,EV stock,Cars,BEV,2015,Vehicles,370,"37000,00%"
Turkiye,Historical,EV sales,Cars,PHEV,2015,Vehicles,110,"11000,00%"
Turkiye,Historical,EV sales,Cars,BEV,2015,Vehicles,120,"12000,00%"
Turkiye,Historical,EV charging points,EV,Publicly available fast,2015,charging points,7,"700,00%"
United Kingdom,Historical,EV stock share,Buses,EV,2015,percent,170.000.001.788.139,"17000000178813900,00%"
United Kingdom,Historical,EV sales share,Vans,EV,2015,percent,280.000.001.192.093,"28000000119209300,00%"
United Kingdom,Historical,EV sales share,Buses,EV,2015,percent,140.000.000.596.046,"14000000059604600,00%"
United Kingdom,Historical,EV sales share,Trucks,EV,2015,percent,6.000.000.052.154,"600000005215400,00%"
United Kingdom,Historical,EV sales share,Cars,EV,2015,percent,110.000.002.384.186,"11000000238418600,00%"
United Kingdom,Historical,EV stock share,Vans,EV,2015,percent,119.999.997.317.791,"11999999731779100,00%"
United Kingdom,Historical,EV stock share,Cars,EV,2015,percent,159.999.996.423.721,"15999999642372100,00%"
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2015,charging points,1100,"110000,00%"
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2015,charging points,8200,"820000,00%"
United Kingdom,Historical,EV stock share,Trucks,EV,2015,percent,70.000.000.298.023,"7000000029802300,00%"
United Kingdom,Historical,EV stock,Buses,BEV,2015,Vehicles,200,"20000,00%"
United Kingdom,Historical,EV sales,Buses,BEV,2015,Vehicles,24,"2400,00%"
United Kingdom,Historical,EV stock,Cars,PHEV,2015,Vehicles,27000,"2700000,00%"
United Kingdom,Historical,EV sales,Cars,PHEV,2015,Vehicles,19000,"1900000,00%"
United Kingdom,Historical,EV stock,Cars,BEV,2015,Vehicles,21000,"2100000,00%"
United Kingdom,Historical,EV sales,Cars,FCEV,2015,Vehicles,11,"1100,00%"
United Kingdom,Historical,EV stock,Vans,PHEV,2015,Vehicles,100,"10000,00%"
United Kingdom,Historical,EV sales,Cars,BEV,2015,Vehicles,10000,"1000000,00%"
United Kingdom,Historical,EV sales,Vans,PHEV,2015,Vehicles,98,"9800,00%"
United Kingdom,Historical,EV stock,Vans,FCEV,2015,Vehicles,4,"400,00%"
United Kingdom,Historical,EV sales,Trucks,BEV,2015,Vehicles,3,"300,00%"
United Kingdom,Historical,EV stock,Trucks,BEV,2015,Vehicles,410,"41000,00%"
United Kingdom,Historical,EV stock,Vans,BEV,2015,Vehicles,4600,"460000,00%"
United Kingdom,Historical,EV sales,Vans,BEV,2015,Vehicles,960,"96000,00%"
USA,Historical,EV sales share,Cars,EV,2015,percent,699.999.988.079.071,"69999998807907100,00%"
USA,Historical,EV stock share,Buses,EV,2015,percent,97.000.002.861.023,"9700000286102300,00%"
USA,Historical,EV stock share,Cars,EV,2015,percent,189.999.997.615.814,"18999999761581400,00%"
USA,Historical,EV sales share,Buses,EV,2015,percent,439.999.997.615.814,"43999999761581400,00%"
USA,Historical,EV charging points,EV,Publicly available fast,2015,charging points,3500,"350000,00%"
USA,Historical,EV charging points,EV,Publicly available slow,2015,charging points,28000,"2800000,00%"
USA,Historical,EV sales,Buses,PHEV,2015,Vehicles,550,"55000,00%"
USA,Historical,EV stock,Buses,PHEV,2015,Vehicles,550,"55000,00%"
USA,Historical,Electricity demand,Buses,EV,2015,GWh,27,"2700,00%"
USA,Historical,Electricity demand,Cars,EV,2015,GWh,1900,"190000,00%"
USA,Historical,Oil displacement Mbd,Buses,EV,2015,Milion barrels per day,"7,10E+09","710000022081,66%"
USA,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,10.999.999.940.395,"1099999994039500,00%"
USA,Historical,"Oil displacement, million lge",Buses,EV,2015,"Oil displacement, million lge",409.999.990.463.257,"40999999046325700,00%"
USA,Historical,"Oil displacement, million lge",Cars,EV,2015,"Oil displacement, million lge",640,"64000,00%"
USA,Historical,EV stock,Cars,BEV,2015,Vehicles,210000,"21000000,00%"
USA,Historical,EV sales,Cars,BEV,2015,Vehicles,71000,"7100000,00%"
USA,Historical,EV stock,Cars,PHEV,2015,Vehicles,190000,"19000000,00%"
USA,Historical,EV sales,Cars,FCEV,2015,Vehicles,100,"10000,00%"
USA,Historical,EV stock,Cars,FCEV,2015,Vehicles,160,"16000,00%"
USA,Historical,EV sales,Cars,PHEV,2015,Vehicles,43000,"4300000,00%"
USA,Historical,EV sales,Buses,BEV,2015,Vehicles,81,"8100,00%"
USA,Historical,EV stock,Buses,BEV,2015,Vehicles,310,"31000,00%"
USA,Historical,EV stock,Buses,FCEV,2015,Vehicles,24,"2400,00%"
World,Historical,EV stock,Buses,BEV,2015,Vehicles,100000,"10000000,00%"
World,Historical,EV stock,Buses,FCEV,2015,Vehicles,190,"19000,00%"
World,Historical,EV sales,Buses,BEV,2015,Vehicles,44000,"4400000,00%"
World,Historical,EV stock,Trucks,PHEV,2015,Vehicles,36,"3600,00%"
World,Historical,EV sales share,Vans,EV,2015,percent,28.999.999.165.535,"2899999916553500,00%"
World,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,21.999.999.880.791,"2199999988079100,00%"
World,Historical,"Oil displacement, million lge",Buses,EV,2015,"Oil displacement, million lge",350,"35000,00%"
World,Historical,"Oil displacement, million lge",Trucks,EV,2015,"Oil displacement, million lge",120,"12000,00%"
World,Historical,"Oil displacement, million lge",Vans,EV,2015,"Oil displacement, million lge",160,"16000,00%"
World,Historical,"Oil displacement, million lge",Cars,EV,2015,"Oil displacement, million lge",1300,"130000,00%"
World,Historical,EV stock,Cars,PHEV,2015,Vehicles,520000,"52000000,00%"
World,Historical,EV sales,Cars,PHEV,2015,Vehicles,220000,"22000000,00%"
World,Historical,EV stock,Trucks,BEV,2015,Vehicles,18000,"1800000,00%"
World,Historical,EV sales,Trucks,BEV,2015,Vehicles,17000,"1700000,00%"
World,Historical,EV stock,Trucks,FCEV,2015,Vehicles,5,"500,00%"
World,Historical,EV charging points,EV,Publicly available slow,2015,charging points,150000,"15000000,00%"
World,Historical,EV stock share,Buses,EV,2015,percent,629.999.995.231.628,"62999999523162800,00%"
World,Historical,EV sales share,Buses,EV,2015,percent,279.999.995.231.628,"27999999523162800,00%"
World,Historical,Oil displacement Mbd,Buses,EV,2015,Milion barrels per day,5.900.000.222.027,"590000022202700,00%"
World,Historical,Oil displacement Mbd,Trucks,EV,2015,Milion barrels per day,2.099.999.925.122,"209999992512200,00%"
World,Historical,Oil displacement Mbd,Vans,EV,2015,Milion barrels per day,2.700.000.070.035,"270000007003500,00%"
World,Historical,Electricity demand,Buses,EV,2015,GWh,3700,"370000,00%"
World,Historical,Electricity demand,Trucks,EV,2015,GWh,960,"96000,00%"
World,Historical,Electricity demand,Vans,EV,2015,GWh,860,"86000,00%"
World,Historical,Electricity demand,Cars,EV,2015,GWh,5700,"570000,00%"
World,Historical,EV charging points,EV,Publicly available fast,2015,charging points,25000,"2500000,00%"
World,Historical,EV stock,Cars,BEV,2015,Vehicles,730000,"73000000,00%"
World,Historical,EV sales,Cars,BEV,2015,Vehicles,330000,"33000000,00%"
World,Historical,EV sales,Cars,FCEV,2015,Vehicles,710,"71000,00%"
World,Historical,EV stock,Cars,FCEV,2015,Vehicles,910,"91000,00%"
World,Historical,EV sales,Vans,PHEV,2015,Vehicles,780,"78000,00%"
World,Historical,EV stock,Vans,PHEV,2015,Vehicles,1500,"150000,00%"
World,Historical,EV stock,Vans,FCEV,2015,Vehicles,160,"16000,00%"
World,Historical,EV sales,Vans,FCEV,2015,Vehicles,140,"14000,00%"
World,Historical,EV stock,Vans,BEV,2015,Vehicles,67000,"6700000,00%"
World,Historical,EV sales,Vans,BEV,2015,Vehicles,27000,"2700000,00%"
World,Historical,EV stock,Buses,PHEV,2015,Vehicles,22000,"2200000,00%"
World,Historical,EV sales,Buses,PHEV,2015,Vehicles,14000,"1400000,00%"
World,Historical,EV stock share,Trucks,EV,2015,percent,25.000.000.372.529,"2500000037252900,00%"
World,Historical,EV sales share,Trucks,EV,2015,percent,310.000.002.384.186,"31000000238418600,00%"
World,Historical,EV stock share,Cars,EV,2015,percent,119.999.997.317.791,"11999999731779100,00%"
World,Historical,EV sales share,Cars,EV,2015,percent,680.000.007.152.557,"68000000715255700,00%"
World,Historical,EV stock share,Vans,EV,2015,percent,52.000.001.072.884,"5200000107288400,00%"
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200,"220000,00%"
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670,"67000,00%"
Australia,Historical,EV sales share,Cars,EV,2016,percent,150.000.005.960.464,"15000000596046400,00%"
Australia,Historical,EV stock share,Cars,EV,2016,percent,37.000.000.476.837,"3700000047683700,00%"
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800,"280000,00%"
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700,"70000,00%"
Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,3800,"380000,00%"
Austria,Historical,EV stock,Cars,BEV,2016,Vehicles,9100,"910000,00%"
Austria,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200,"120000,00%"
Austria,Historical,EV stock,Cars,FCEV,2016,Vehicles,13,"1300,00%"
Austria,Historical,EV stock,Cars,PHEV,2016,Vehicles,2300,"230000,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2016,charging points,100.000.001.490.116,"10000000149011600,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2016,charging points,100.000.001.490.116,"10000000149011600,00%"
Austria,Historical,EV sales share,Cars,EV,2016,percent,1.5,"4541300,00%"
Austria,Historical,EV stock share,Cars,EV,2016,percent,239.999.994.635.582,"23999999463558200,00%"
Belgium,Historical,EV stock,Buses,BEV,2016,Vehicles,7,"700,00%"
Belgium,Historical,EV sales,Vans,BEV,2016,Vehicles,140,"14000,00%"
Belgium,Historical,EV stock,Buses,PHEV,2016,Vehicles,110,"11000,00%"
Belgium,Historical,EV stock,Vans,BEV,2016,Vehicles,690,"69000,00%"
Belgium,Historical,EV sales,Cars,BEV,2016,Vehicles,2100,"210000,00%"
Belgium,Historical,EV stock,Vans,PHEV,2016,Vehicles,1,"100,00%"
Belgium,Historical,EV sales,Cars,FCEV,2016,Vehicles,7,"700,00%"
Belgium,Historical,EV stock,Cars,BEV,2016,Vehicles,5200,"520000,00%"
Belgium,Historical,EV sales share,Cars,EV,2016,percent,170.000.004.768.372,"17000000476837200,00%"
Belgium,Historical,EV stock,Cars,FCEV,2016,Vehicles,20,"2000,00%"
Belgium,Historical,EV stock,Cars,PHEV,2016,Vehicles,11000,"1100000,00%"
Belgium,Historical,EV sales,Cars,PHEV,2016,Vehicles,7100,"710000,00%"
Belgium,Historical,EV stock,Trucks,BEV,2016,Vehicles,13,"1300,00%"
Belgium,Historical,EV sales,Trucks,BEV,2016,Vehicles,1,"100,00%"
Belgium,Historical,EV charging points,EV,Publicly available fast,2016,charging points,110,"11000,00%"
Belgium,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1500,"150000,00%"
Belgium,Historical,EV stock share,Buses,EV,2016,percent,0.75,0.75
Belgium,Historical,EV sales share,Vans,EV,2016,percent,209.999.993.443.489,"20999999344348900,00%"
Belgium,Historical,EV stock share,Vans,EV,2016,percent,97.000.002.861.023,"9700000286102300,00%"
Belgium,Historical,EV stock share,Cars,EV,2016,percent,280.000.001.192.093,"28000000119209300,00%"
Belgium,Historical,EV sales share,Trucks,EV,2016,percent,9.999.999.776.483,"999999977648300,00%"
Belgium,Historical,EV stock share,Trucks,EV,2016,percent,9.100.000.374.019,"910000037401900,00%"
Brazil,Historical,EV stock,Buses,BEV,2016,Vehicles,5,"500,00%"
Brazil,Historical,EV sales,Vans,BEV,2016,Vehicles,6,"600,00%"
Brazil,Historical,EV stock,Cars,PHEV,2016,Vehicles,75,"7500,00%"
Brazil,Historical,EV sales,Cars,PHEV,2016,Vehicles,47,"4700,00%"
Brazil,Historical,EV sales,Cars,BEV,2016,Vehicles,130,"13000,00%"
Brazil,Historical,EV stock,Cars,BEV,2016,Vehicles,250,"25000,00%"
Brazil,Historical,EV stock share,Buses,EV,2016,percent,820.000.015.665,"82000001566500,00%"
Brazil,Historical,EV sales share,Vans,EV,2016,percent,2.099.999.925.122,"209999992512200,00%"
Brazil,Historical,EV sales share,Cars,EV,2016,percent,10.999.999.940.395,"1099999994039500,00%"
Brazil,Historical,EV stock share,Cars,EV,2016,percent,79.999.997.979,"7999999797900,00%"
Bulgaria,Historical,EV sales,Cars,BEV,2016,Vehicles,5,"500,00%"
Bulgaria,Historical,EV sales,Cars,PHEV,2016,Vehicles,8,"800,00%"
Bulgaria,Historical,EV sales share,Cars,EV,2016,percent,50.000.000.745.058,"5000000074505800,00%"
Canada,Historical,EV stock,Vans,PHEV,2016,Vehicles,5,"500,00%"
Canada,Historical,EV stock,Cars,BEV,2016,Vehicles,15000,"1500000,00%"
Canada,Historical,EV stock,Vans,FCEV,2016,Vehicles,9,"900,00%"
Canada,Historical,EV stock,Vans,BEV,2016,Vehicles,1,"100,00%"
Canada,Historical,EV sales,Cars,BEV,2016,Vehicles,5200,"520000,00%"
Canada,Historical,EV stock,Cars,FCEV,2016,Vehicles,5,"500,00%"
Canada,Historical,EV sales,Buses,BEV,2016,Vehicles,5,"500,00%"
Canada,Historical,EV stock share,Vans,EV,2016,percent,199.999.994.948,"19999999494800,00%"
Canada,Historical,EV sales share,Buses,EV,2016,percent,119.999.997.317.791,"11999999731779100,00%"
Canada,Historical,EV stock share,Trucks,EV,2016,percent,2.000.000.094.995,"200000009499500,00%"
Canada,Historical,EV stock share,Cars,EV,2016,percent,129.999.995.231.628,"12999999523162800,00%"
Canada,Historical,EV sales share,Cars,EV,2016,percent,759.999.990.463.257,"75999999046325700,00%"
Canada,Historical,EV charging points,EV,Publicly available fast,2016,charging points,140,"14000,00%"
Canada,Historical,EV charging points,EV,Publicly available slow,2016,charging points,3900,"390000,00%"
Canada,Historical,EV sales,Cars,PHEV,2016,Vehicles,6400,"640000,00%"
Canada,Historical,EV stock,Trucks,BEV,2016,Vehicles,28,"2800,00%"
Canada,Historical,EV stock,Cars,PHEV,2016,Vehicles,14000,"1400000,00%"
Chile,Historical,EV sales,Cars,BEV,2016,Vehicles,18,"1800,00%"
Chile,Historical,EV stock,Cars,BEV,2016,Vehicles,54,"5400,00%"
Chile,Historical,EV charging points,EV,Publicly available fast,2016,charging points,5,"500,00%"
Chile,Historical,EV charging points,EV,Publicly available slow,2016,charging points,22,"2200,00%"
Chile,Historical,EV sales,Cars,PHEV,2016,Vehicles,9,"900,00%"
Chile,Historical,EV stock,Cars,PHEV,2016,Vehicles,46,"4600,00%"
Chile,Historical,EV stock share,Cars,EV,2016,percent,289.999.996.312,"28999999631200,00%"
Chile,Historical,EV sales share,Cars,EV,2016,percent,13.000.000.268.221,"1300000026822100,00%"
China,Historical,Electricity demand,Buses,EV,2016,GWh,6300,"630000,00%"
China,Historical,Electricity demand,Trucks,EV,2016,GWh,2800,"280000,00%"
China,Historical,Electricity demand,Vans,EV,2016,GWh,120,"12000,00%"
China,Historical,Electricity demand,Cars,EV,2016,GWh,2400,"240000,00%"
China,Historical,EV stock,Vans,PHEV,2016,Vehicles,17,"1700,00%"
China,Historical,EV sales,Cars,BEV,2016,Vehicles,260000,"26000000,00%"
China,Historical,EV stock,Buses,PHEV,2016,Vehicles,29000,"2900000,00%"
China,Historical,EV sales,Buses,PHEV,2016,Vehicles,7600,"760000,00%"
China,Historical,EV sales,Vans,BEV,2016,Vehicles,11000,"1100000,00%"
China,Historical,EV stock,Vans,BEV,2016,Vehicles,53000,"5300000,00%"
China,Historical,EV sales,Buses,BEV,2016,Vehicles,76000,"7600000,00%"
China,Historical,EV stock,Buses,BEV,2016,Vehicles,190000,"19000000,00%"
China,Historical,EV stock,Buses,FCEV,2016,Vehicles,1,"100,00%"
China,Historical,EV charging points,EV,Publicly available fast,2016,charging points,55000,"5500000,00%"
China,Historical,EV charging points,EV,Publicly available slow,2016,charging points,86000,"8600000,00%"
China,Historical,EV stock,Cars,BEV,2016,Vehicles,460000,"46000000,00%"
China,Historical,EV sales,Cars,PHEV,2016,Vehicles,79000,"7900000,00%"
China,Historical,EV sales,Trucks,BEV,2016,Vehicles,46000,"4600000,00%"
China,Historical,EV stock,Cars,PHEV,2016,Vehicles,170000,"17000000,00%"
China,Historical,EV stock,Trucks,BEV,2016,Vehicles,64000,"6400000,00%"
China,Historical,EV sales share,Buses,EV,2016,percent,53,"5300,00%"
China,Historical,EV stock share,Buses,EV,2016,percent,659.999.990.463.257,"65999999046325700,00%"
China,Historical,EV sales share,Vans,EV,2016,percent,879.999.995.231.628,"87999999523162800,00%"
China,Historical,EV stock share,Vans,EV,2016,percent,469.999.998.807.907,"46999999880790700,00%"
China,Historical,EV sales share,Cars,EV,2016,percent,1.5,"4541300,00%"
China,Historical,EV sales share,Trucks,EV,2016,percent,320.000.004.768.372,"32000000476837200,00%"
China,Historical,EV stock share,Cars,EV,2016,percent,389.999.985.694.885,"38999998569488500,00%"
